product_id,name,main_category,sub_category,ratings,no_of_ratings,price (USD),cost (USD)
bx-000JHG,The Shopoholic Analog Black Rectangle Dial Womens Watch(MT-211),accessories,Watches,,,6.0,4.3
bx-000Y0V,GROOT Professional Analog Black Color Dial Men Watch - BCPL6-BL46.27 (Pack of 2),accessories,Watches,,,12.0,9.7
bx-002PVJ,BIGXEN Kids Mask Cotton Mask for Boys and Girls Reusable and Washable Mask for Boys Kids Mask for Girls 3 Layer Cartoon Di...,accessories,Bags & Luggage,4.2,31,4.0,1.2
bx-003PYP,"Kawaii Kart | Lightstick Keychain | Premium 3D Rubber KPOP Merchandise Keyrings Suitable to use as Bag Charm, Car Keychai...",accessories,Bags & Luggage,3.7,13,24.0,18.6
bx-0042LQ,NEUTRON Heart Analog Grey and Black Color Dial Women Watch - GM508-GM216 (Pack of 2),accessories,Watches,,,12.0,3.5
bx-005G6J,"nsb herbals 15 G Empty Acrylic San Jar Transparent / Clear Cosmetic Container With Gold Lid And Inner Lids For Lip Balms, ...",accessories,Bags & Luggage,2.9,3,4.0,0.6
bx-0067CO,"Miraan Cotton Printed Readymade Salwar Suit For Women(BANDCOLOR923, Pink)",women's clothing,Clothing,3.9,254,40.0,0.1
bx-007EBG,BTS Yellow Rosegold Watch | Girls | Premium Rosegold Watch,accessories,Watches,,,11.0,7.0
bx-007T8G,"TRAVALATE Laptop Backpack with USB Charging Port for Travel, Office, Collage, Business Bag, Gift for Men and Women",accessories,Bags & Luggage,4.3,9,17.0,14.2
bx-008NGM,"Baidyanath Giloy Juice Helps Boost Immunity, 500 ml",grocery & gourmet foods,"Coffee, Tea & Beverages",4.4,88,2.0,0.8
bx-00CF7B,ADD GEAR Scarfy-2 Anti Pollution Full face Scarf UV Sun Rays Protection mask for Women - Random Colours,women's clothing,Clothing,3.6,180,10.0,2.9
bx-00CPIL,casera Magnetic Strap All Black Color Analog Watch for Girls and Women,accessories,Watches,,,24.0,3.6
bx-00CRU1,GROOT Technology Analog Black and Silver Color Dial Men Watch - BL46.61-B776 (Pack of 2),accessories,Watches,,,14.0,9.6
bx-00DAYK,Belladona islamic prayer dress - white big star print,women's clothing,Clothing,4.0,2,12.0,8.9
bx-00DHFV,COTLAND Fashions Jaipuri Cotton Printed Strappy Sleeveless Top for Women,women's clothing,Clothing,4.2,31,27.0,0.6
bx-00E9JK,Amayra Women's Rayon Printed Anarkali Kurti with Palazzos and Dupatta Set,women's clothing,Clothing,3.9,"1,19",36.0,1.8
bx-00EE34,Lychee bags Canvas Floral Printed Womens tote Bags,accessories,Bags & Luggage,3.8,14,20.0,10.3
bx-00EGZ5,Imperious Stainless Steel Dial Wrist Watches for Women Stylish Belt Ladies Watch - Water Resistant Womens Watches,accessories,Watches,3.3,5,14.0,1.2
bx-00FM24,Camel Premium Poster Colour with Brush - 20 Shades (Multicolor),"tv, audio & cameras",All Electronics,4.5,818,7.0,3.3
bx-00FODM,NEUTRON Quartz Analog Red and Grey Color Dial Women Watch - G441-(36-L-10) (Pack of 2),accessories,Watches,,,8.0,3.2
bx-00FSMP,"Spanco Wooden Nun Chaku, Brown",sports & fitness,Fitness Accessories,3.0,1,3.0,1.5
bx-00FUJN,stylemyth - fashion point Women Denim Solid Blue Full Sleeve Casual Jacket (mye11),women's clothing,Clothing,5.0,1,16.0,8.5
bx-00G1SX,CURREN Analog Rose Gold Dial Women's Watch,accessories,Watches,5.0,1,60.0,49.6
bx-00G8OI,"TheGiftKart Back Cover for Samsung Galaxy M21 2021 Edition / M21 / M30s (TPU, PC | Transparent | Black Bumper)","tv, audio & cameras",All Electronics,4.3,453,12.0,9.8
bx-00GPFO,DAISY DEE Cotton Wirefree Regular Straps Seamed Full Coverage Non Padded Bra for Women,women's clothing,Clothing,3.8,247,6.0,1.3
bx-00H31X,Vaamsi Georgette Printed Saree with Blouse (PC1156_Red),women's clothing,Clothing,4.7,7,17.0,1.4
bx-00H63S,Titan Raga Analog Off-White Dial Women's Watch-NN311YM16,accessories,Watches,3.9,11,93.0,25.0
bx-00ISVX,Coach Womens Na Silver White Dial Stainless Steel Analogue Watch - NCCO14503626W,accessories,Watches,,,282.0,32.9
bx-00K9H8,"D'aromas Peach Ice Tea 1kg, Instant Premix Ice Tea Powder, Ready to Drink Iced Tea, Summer Drink",grocery & gourmet foods,"Coffee, Tea & Beverages",3.1,36,8.0,1.2
bx-00KU18,"SupCares Edge to Edge Privacy Tempered Glass for iPhone 14, iPhone 13 and iPhone 13 Pro (6.1 Inch) with Easy Self Installa...","tv, audio & cameras",All Electronics,4.2,282,10.0,4.8
